Account,date,daily_pnl,classification,value,win_rate,avg_trade_size,num_trades,long_short_ratio,leverage_proxy,daily_volume,profit_per_trade,Crossed,frequency_segment,consistency_segment,profitable_day,leverage_segment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,Extreme Greed,75.0,0.584070796460177,1737.369557522124,339,0.7121212121212122,50.05858445298015,588968.28,4.99555505899705,1.0,frequent,consistent,True,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,Extreme Greed,75.0,0.07407407407407407,2398.331666666667,54,12.5,13.672334810375439,129509.91,78.16956294444445,0.8703703703703703,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,Greed,71.0,0.0,1519.465681818182,44,0.0,51.98902145801956,66856.49,0.0,1.0,frequent,consistent,False,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,Greed,72.0,1.0,1317.0667857142857,56,0.0,1.8515321612546276,73755.74,123.20081842857144,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,Greed,72.0,0.0,1602.9452173913044,46,0.0,43.93178051718635,73735.48,0.0,1.0,frequent,consistent,False,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,Greed,70.0,1.0,1474.6896363636365,55,0.0,1.9405526545254062,81107.93000000001,134.04518365454547,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,Greed,68.0,0.32051282051282054,2094.719358974359,78,2.12,9.683173467620938,163388.11,14.897468474358975,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,Greed,60.0,0.4506769825918762,2792.42166344294,517,1.0931174089068827,191.77664814448693,1443682.0,12.28714238491296,0.9361702127659575,frequent,consistent,True,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,Neutral,47.0,0.0,612.1092741935485,124,0.0,0.0029355822655434734,75901.55,-99.57250668548387,1.0,frequent,consistent,False,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,Neutral,46.0,0.7987421383647799,2687.4032704402516,159,0.2421875,198.25565161785195,427297.12,2.2363861635220124,1.0,frequent,consistent,True,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,Neutral,49.0,0.325,1641.2224999999999,160,2.076923076923077,11.69120364192555,262595.6,7.061555787500001,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,Fear,25.0,0.0,82910.81,1,0.0,20.21705801186765,82910.81,-6820.76955,1.0,frequent,consistent,False,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,Extreme Fear,16.0,0.0,1462.824423076923,52,0.0,8.618028554641851,76066.87,0.0,1.0,frequent,consistent,False,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,Fear,33.0,0.45454545454545453,1999.099181818182,110,1.2,7.369601943601386,219900.91,22.55365799090909,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,Extreme Fear,15.0,0.0,1756.5103076923076,65,5.5,69.19126089978812,114173.17,-48.759314892307685,1.0,frequent,consistent,False,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,Fear,34.0,0.0,1499.4978378378378,37,0.0,11.161542469117094,55481.42,0.0,1.0,frequent,consistent,False,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,Fear,28.0,1.0,1225.1170212765958,47,0.0,1.5340417980447343,57580.5,44.65999336170213,1.0,frequent,consistent,True,low_leverage
